Hour,index,key_0,Load,Voltage,Carbon Intensity,Load Shed,Generation,Cost,Emissions,type
1,,1,-0.0,0.0,158.80525640712946,0.0,0.0,0.0,0.0,
1,,2,23.43,-2.639281258310243,246.95375936034466,0.0,0.0,0.0,0.0,
1,,3,-92.18492945955944,-8.769976653247694,94.55640890755667,0.0,0.0,0.0,0.0,
1,,4,-0.0,15.957413787123558,0.0,0.0,0.0,0.0,0.0,
1,,5,-0.0,15.6076077276742,195.07186516447123,0.0,0.0,0.0,0.0,
1,,6,-281.511992444756,-0.5359885747299853,176.78793981601953,0.0,0.0,0.0,0.0,
1,0.0,7,-0.0,10.321591881455484,0.0,0.0,1700.0,11197.119700000001,0.0,NUC
1,,8,-232.79792941080058,-13.374925307277541,700.0,0.0,0.0,0.0,0.0,
1,,9,-0.0,12.07426339082892,0.0,0.0,0.0,0.0,0.0,
1,,10,-0.0,4.743992039208371,201.86043466357478,0.0,0.0,0.0,0.0,
1,,11,-142.3289552048834,10.20981590731762,199.26945676071637,0.0,0.0,0.0,0.0,
1,,12,-0.0,4.17495167361229,222.25322127927197,0.0,0.0,0.0,0.0,
1,,13,-227.26874026017552,0.7387280773561569,148.27290416450143,0.0,0.0,0.0,0.0,
1,,14,-0.0,-9.617271205834575,61.132656918456874,0.0,0.0,0.0,0.0,
1,,15,-0.0,0.2748699490761308,0.0,0.0,0.0,0.0,0.0,
1,,16,-261.3018527907471,-8.646139940219488,508.77916186923557,0.0,0.0,0.0,0.0,
1,,17,-0.0,0.9838345165883025,148.07837066352548,0.0,0.0,0.0,0.0,
1,,18,-0.0,4.683896116174942,231.6288866403848,0.0,0.0,0.0,0.0,
1,,19,-60.68761747048143,1.9028327964328802,194.96050053153655,0.0,0.0,0.0,0.0,
1,,20,-112.8717233506912,-13.351343358763845,700.0,0.0,0.0,0.0,0.0,
1,1.0,21,-0.0,3.6607979703957034,501.254219881929,0.0,32.964488870746955,1146.9944785487985,25863.600986884678,COW
1,,22,357.45,8.506451833811452,0.0,0.0,0.0,0.0,0.0,
1,,23,-8.198452878513041,-16.569396690098195,700.0,0.0,0.0,0.0,0.0,
1,2.0,24,-0.0,22.159716433044185,0.0,0.0,0.0,0.0,0.0,NG
1,,25,-0.0,-1.6941531346791479,92.9473256688116,0.0,0.0,0.0,0.0,
1,,26,-383.3253374941971,-9.000701857205689,416.34845773981766,0.0,0.0,0.0,0.0,
1,,27,-0.0,-3.068469890972686,700.0,0.0,0.0,0.0,0.0,
1,,28,-287.8038283747776,-3.6851139366542203,4.823415720394505,0.0,0.0,0.0,0.0,
1,,29,-0.0,-0.18477034980897677,153.9798734022021,0.0,0.0,0.0,0.0,
1,,30,-0.0,12.07426339082892,0.0,0.0,0.0,0.0,0.0,
1,,31,-194.2842670512742,-11.330066192986786,700.0,0.0,0.0,0.0,0.0,
1,,32,-345.01186991426226,12.485250304950126,195.07186516447123,0.0,0.0,0.0,0.0,
1,,33,-282.27463922415257,-8.502900530324368,700.0,0.0,0.0,0.0,0.0,
1,,34,-0.0,-0.46262961990267115,195.07186516171944,0.0,0.0,0.0,0.0,
1,,35,-215.73370772180252,-7.577560940617471,256.7520579334167,0.0,0.0,0.0,0.0,
1,,36,-0.0,-13.316303185223841,700.0,0.0,0.0,0.0,0.0,
1,3.0,37,-0.0,6.417492457475884,734.7200274505961,0.0,1015.1646462357473,33077.349247155864,745861.7967495931,COW
1,,38,-0.0,-6.784500165586381,0.0,0.0,0.0,0.0,0.0,
1,,39,-0.0,-8.956434594510553,678.2830671331262,0.0,0.0,0.0,0.0,
1,,40,-282.94195515612455,-10.483029622340592,131.0882789905067,0.0,0.0,0.0,0.0,
1,,41,-320.5976398888298,-10.031503611804975,163.92640153689072,0.0,0.0,0.0,0.0,
1,4.0,42,-0.0,-4.916149564200329,308.5971760278485,0.0,98.82104829775085,3632.905428130424,47934.42049934681,NG
1,,43,-372.2669591929469,-10.90582382962794,183.9631164294295,0.0,0.0,0.0,0.0,
1,,44,-35.272413547091,12.07426339082892,195.0718651648725,0.0,0.0,0.0,0.0,
1,5.0,45,-0.0,-8.504102221390678,731.8854987489314,0.0,0.0,0.0,0.0,NG
1,,46,-392.0957754572575,-10.952463782986966,143.823263820423,0.0,0.0,0.0,0.0,
1,,47,-331.37955873254873,2.15169842706278,0.0,0.0,0.0,0.0,0.0,
1,,48,-0.0,23.246083109552387,0.0,0.0,0.0,0.0,0.0,
1,,49,-0.0,-1.3337135509238407,43.21631391792517,0.0,0.0,0.0,0.0,
1,,50,-0.0,-7.506742940617471,257.6169164773072,0.0,0.0,0.0,0.0,
1,,51,-0.0,4.967339383811452,0.0,0.0,0.0,0.0,0.0,
1,,52,-212.30179721451796,-7.252005195566353,203.56130994395443,0.0,0.0,0.0,0.0,
1,,53,-0.0,0.9254925490761194,0.0,0.0,0.0,0.0,0.0,
1,,54,-0.0,4.967339383811452,488.8870493452828,0.0,0.0,0.0,0.0,
1,,55,456.66,-4.333878380721556,293.55647252980805,0.0,0.0,0.0,0.0,
1,6.0,56,-0.0,16.04604062728088,0.0,0.0,1200.0,10077.9996,0.0,NUC
1,,57,-0.0,-2.4488962791155062,511.1442433692206,0.0,0.0,0.0,0.0,
1,,58,-339.35875066198525,-3.719041955965122,187.06336966473094,0.0,0.0,0.0,0.0,
1,,59,-0.0,1.5375336649964204,225.27264987884902,0.0,0.0,0.0,0.0,
1,7.0,60,-0.0,15.6076077276742,1000.0,0.0,0.0,0.0,0.0,NG
1,,61,-311.63654023092016,-7.99288166027528,178.0359941887296,0.0,0.0,0.0,0.0,
1,,62,-0.0,-5.52639465226625,700.0,0.0,0.0,0.0,0.0,
1,,63,-0.0,6.153937839273883,201.86043466358592,0.0,0.0,0.0,0.0,
1,,64,-0.0,-5.666657395012598,307.7604017152048,0.0,0.0,0.0,0.0,
1,8.0,65,-0.0,-6.784500165586381,251.6554706559372,0.0,100.0,4076.0836999999997,53781.94228603491,NG
1,,66,179.73,2.656292449076089,0.0,0.0,0.0,0.0,0.0,
1,,67,-506.8741157564401,-12.204136778682093,700.0,0.0,0.0,0.0,0.0,
1,,68,-0.0,34.73039230955237,0.0,0.0,0.0,0.0,0.0,
1,,69,-0.0,1.617591881455483,90.16173015468121,0.0,0.0,0.0,0.0,
1,,70,114.36,-2.02515531593429,0.0,0.0,0.0,0.0,0.0,
1,9.0,71,-0.0,15.9856077276742,507.7540882352942,0.0,600.0,13510.674,304652.45294117654,COW
1,,72,-37.503155376825944,3.8521208265000366,217.02657707677113,0.0,0.0,0.0,0.0,
1,,73,-0.0,-0.18844702710303762,90.16173015313458,0.0,0.0,0.0,0.0,
1,,74,-0.0,0.09740464891658362,90.16173015381442,0.0,0.0,0.0,0.0,
1,,75,-0.0,-7.252005195566353,0.0,0.0,0.0,0.0,0.0,
1,,76,-0.0,14.840379675542206,195.07186516409536,0.0,0.0,0.0,0.0,
1,,77,-608.1345418908186,-9.653358056035525,111.0391791972614,0.0,0.0,0.0,0.0,
1,,78,-0.0,-8.576635492173518,504.70882631120327,0.0,0.0,0.0,0.0,
1,,79,-0.0,1.1418217063202307,210.37461688009938,0.0,0.0,0.0,0.0,
1,,80,1299.13,54.86560817955235,0.0,0.0,0.0,0.0,0.0,
1,10.0,81,-0.0,4.269587748540447,219.37565053749003,0.0,0.0,0.0,0.0,NG
1,,82,-0.0,5.628270265146513,217.02657707677113,0.0,0.0,0.0,0.0,
